author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
ID 117472686,homeowner,https://www.cian.ru/sale/flat/316499489/,Москва,sale,flat,8,9,1,35.0,-1,0,25800000,Хамовники,Ростовская набережная,3,Смоленская,
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/316467337/,Москва,sale,flat,15,17,1,55.9,-1,0,28000000,Теплый Стан, Островитянова,4,Тропарёво,
ID 117253188,realtor,https://www.cian.ru/sale/flat/316503134/,Москва,sale,flat,3,9,1,32.5,-1,0,12980000,Восточное Дегунино, 800-летия Москвы,5К1,Яхромская,
Мария Бахарева,realtor,https://www.cian.ru/sale/flat/317421328/,Москва,sale,flat,8,9,1,35.0,-1,0,18250000,Тверской,Перуновский переулок,4-8,Менделеевская,
ID 124627374,realtor,https://www.cian.ru/sale/flat/314940249/,Москва,sale,flat,12,22,1,38.2,-1,0,18400000,Фили-Давыдково,Кременчугская ,3К2,Славянский бульвар,
V I B E,real_estate_agent,https://www.cian.ru/sale/flat/314702076/,Москва,sale,flat,2,18,1,41.0,-1,0,22600000,Беговой,Ленинградский проспект,29к3,Динамо,Царская площадь
One Moscow,real_estate_agent,https://www.cian.ru/sale/flat/315500861/,Москва,sale,flat,2,9,1,37.2,-1,0,19999999,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,Аминьевская,Вестердам
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/313282454/,Москва,sale,flat,54,63,1,81.0,-1,0,59000000,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/315253252/,Москва,sale,flat,71,79,1,79.0,-1,0,75000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
MaxCapital,real_estate_agent,https://www.cian.ru/sale/flat/315814638/,Москва,sale,flat,12,12,1,38.79,-1,0,11700000,Чертаново Южное,3-й Дорожный проезд,4К1,Улица Академика Янгеля,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/316324755/,Москва,sale,flat,14,25,1,32.0,-1,0,14500000,Метрогородок,Тагильская ,2к1,Бульвар Рокоссовского,Сиреневый парк
